MOTIF V_PAX4_04 Pax-4
MOTIF V_MSX1_01 Msx-1
MOTIF V_HOXA3_01 HOXA3
MOTIF V_EN1_01 En-1
MOTIF V_AMEF2_Q6 aMEF-2
MOTIF V_MMEF2_Q6 MEF-2A
MOTIF V_HMEF2_Q6 MEF-2A
MOTIF V_RSRFC4_Q2 RSRFC4
MOTIF V_SOX9_B1 Sox-9
MOTIF V_HNF4_01_B HNF4alpha1
MOTIF V_AREB6_01 AREB6
MOTIF V_AREB6_02 AREB6
MOTIF V_AREB6_03 AREB6
MOTIF V_AREB6_04 AREB6
MOTIF V_CART1_01 Cart-1
MOTIF V_TGIF_01 TGIF
MOTIF V_MEIS1_01 MEIS1
MOTIF V_MEIS1AHOXA9_01 MEIS1A:HOXA9
MOTIF V_MEIS1BHOXA9_02 MEIS1B:HOXA9
MOTIF V_FOXJ2_01 FOXJ2
MOTIF V_FOXJ2_02 FOXJ2
MOTIF V_NKX61_01 Nkx6-1
MOTIF V_E2F_Q3 E2F
MOTIF V_E2F_Q4 E2F
MOTIF V_E2F_Q6 E2F
MOTIF V_E2F1_Q3 E2F-1
MOTIF V_E2F1_Q4 E2F-1
MOTIF V_E2F1_Q6 E2F-1
MOTIF V_TITF1_Q3 TTF1_(Nkx2-1)
MOTIF V_HMX1_01 Hmx3_(Nkx5-1)
MOTIF V_IPF1_Q4 ipf1
MOTIF V_CHX10_01 CHX10
MOTIF V_VDR_Q3 VDR
MOTIF V_SPZ1_01 Spz1
MOTIF V_AR_Q2 AR
MOTIF V_ZIC1_01 Zic1
MOTIF V_ZIC2_01 Zic2
MOTIF V_ZIC3_01 Zic3
MOTIF V_NKX3A_01 Nkx3-1
MOTIF V_IRF7_01 IRF-7
MOTIF V_MRF2_01 MRF2
MOTIF V_FAC1_01 FAC1
MOTIF V_STAT5A_01 STAT5A_(homodimer)
MOTIF V_STAT5B_01 STAT5B_(homodimer)
MOTIF V_STAT5A_02 STAT5A_(homotetramer)
MOTIF V_GATA6_01 GATA-6
MOTIF V_POU3F2_01 POU3F2
MOTIF V_POU3F2_02 POU3F2
MOTIF V_POU6F1_01 POU6F1
MOTIF V_HIF1_Q5 HIF1
MOTIF V_ROAZ_01 Roaz
MOTIF V_AP2REP_01 AP-2rep
MOTIF V_AP2ALPHA_01 AP-2alpha
MOTIF V_AP2GAMMA_01 AP-2gamma
MOTIF V_TBP_01 TBP
MOTIF V_FOXO4_01 FOXO4
MOTIF V_FOXO1_01 FOXO1
MOTIF V_FOXO1_02 FOXO1
MOTIF V_FOXO4_02 FOXO4
MOTIF V_FOXO3_01 FOXO3
MOTIF V_CDC5_01 Cdc5
MOTIF V_LUN1_01 LUN-1
MOTIF V_AR_01 AR
MOTIF V_PITX2_Q2 Pitx2
MOTIF V_ATF6_01 ATF6
MOTIF V_NCX_01 Ncx
MOTIF V_NKX22_01 Nkx2-2
MOTIF V_PAX2_02 Pax-2
MOTIF V_NKX62_Q2 Nkx6-2
MOTIF V_BACH2_01 Bach2
MOTIF V_MAZR_01 MAZR
MOTIF V_STAT1_02 STAT1
MOTIF V_STAT5A_03 STAT5A
MOTIF V_STAT6_01 STAT6
MOTIF V_BACH1_01 Bach1
MOTIF V_STAT1_03 STAT1
MOTIF V_STAT3_02 STAT3
MOTIF V_STAT4_01 STAT4
MOTIF V_STAT5A_04 STAT5A
MOTIF V_STAT6_02 STAT6
MOTIF V_LHX3A_01 Lhx3a
MOTIF V_ERR1_Q2 ERR1
MOTIF V_PPARG_01 PPARgamma:RXRalpha
MOTIF V_ATF3_Q6 ATF3
MOTIF V_ATF4_Q2 ATF4
MOTIF V_PPARG_02 PPARgamma:RXRalpha,_PPARgamma
MOTIF V_E2F_03 E2F-1
MOTIF V_AP1_01 AP-1
MOTIF V_PPARA_02 PPARalpha:RXRalpha
MOTIF V_GCNF_01 GCNF
MOTIF V_PPARG_03 PPAR
MOTIF V_NERF_Q2 nerf
MOTIF V_RP58_01 RP58
MOTIF V_HTF_01 HTF_(XBP1)
MOTIF V_ARNT_02 Arnt
MOTIF V_MYCMAX_03 c-Myc:Max
MOTIF V_AFP1_Q6 AFP1
MOTIF V_ALX4_01 Alx-4
MOTIF V_CEBPD_Q6 C/EBPdelta
MOTIF V_CEBPG_Q6 C/EBPgamma
MOTIF V_CRX_Q4 Crx
MOTIF V_DBP_Q6 DBP
MOTIF V_EFC_Q6 RFX1_(EF-C)
MOTIF V_FOXM1_01 FOXM1
MOTIF V_FXR_Q3 FXR:RXR-alpha
MOTIF V_GATA4_Q3 GATA-4
MOTIF V_GCM_Q2 GCM
MOTIF V_HNF4ALPHA_Q6 HNF4alpha
MOTIF V_HNF6_Q6 HNF-6
MOTIF V_HOXA4_Q2 HOXA4
MOTIF V_HSF_Q6 HSF
MOTIF V_LBP1_Q6 LBP-1
MOTIF V_LFA1_Q6 LF-A1
MOTIF V_LXR_Q3 LXR
MOTIF V_MAF_Q6 MAF
MOTIF V_MAZ_Q6 MAZ
MOTIF V_MTF1_Q4 MTF-1
MOTIF V_NFMUE1_Q6 NF-muE1
MOTIF V_NRF1_Q6 NRF-1
MOTIF V_PEA3_Q6 PEA3
MOTIF V_PU1_Q6 PU.1
MOTIF V_SP3_Q3 Sp3
MOTIF V_TCF4_Q5 TCF-4
MOTIF V_TEF_Q6 TEF
MOTIF V_TEL2_Q6 Tel-2
MOTIF V_ALPHACP1_01 alpha-CP1
MOTIF V_AP3_Q6 AP-3
MOTIF V_ATF1_Q6 ATF-1
MOTIF V_E12_Q6 E12
MOTIF V_E4F1_Q6 E4F1
MOTIF V_ETF_Q6 ETF
MOTIF V_HEB_Q6 HEB
MOTIF V_ICSBP_Q6 ICSBP
MOTIF V_SMAD3_Q6 SMAD3
MOTIF V_TEF1_Q6 TEF-1
MOTIF V_TFIII_Q6 TFII-I
MOTIF V_TFIIA_Q6 TFIIA
MOTIF V_MYOGENIN_Q6 myogenin
MOTIF V_ZF5_01 ZF5
MOTIF V_PAX8_01 Pax-8
MOTIF V_CACCCBINDINGFACTOR_Q6 CACCC-binding_factor
MOTIF V_HNF3ALPHA_Q6 HNF3alpha
MOTIF V_USF2_Q6 USF2
MOTIF V_SF1_Q6 SF-1
MOTIF V_CDX2_Q5 Cdx-2
MOTIF V_OSF2_Q6 Osf2
MOTIF V_SMAD4_Q6 SMAD4
MOTIF V_CIZ_01 CIZ
MOTIF V_E2F1DP1_01 E2F-1:DP-1
MOTIF V_E2F1DP2_01 E2F-1:DP-2
MOTIF V_E2F4DP1_01 E2F-4:DP-1
MOTIF V_E2F4DP2_01 E2F-4:DP-2
MOTIF V_E2F1DP1RB_01 Rb:E2F-1:DP-1
MOTIF V_HFH4_01 HFH4_(FOXJ1)
MOTIF V_POU1F1_Q6 POU1F1
MOTIF V_ELF1_Q6 Elf-1
MOTIF V_IRF1_Q6 IRF-1
MOTIF V_SREBP1_Q6 SREBP-1
MOTIF V_HMGIY_Q6 HMGIY
MOTIF V_AML1_Q6 AML1
MOTIF V_P53DECAMER_Q2 p53_decamer
